ciudad,provincia,pais
El Encanto,Amazonas,Colombia
La Chorrera,Amazonas,Colombia
La Pedrera,Amazonas,Colombia
La Victoria,Amazonas,Colombia
Leticia,Amazonas,Colombia
Miriti - Paraná,Amazonas,Colombia
Puerto Alegría,Amazonas,Colombia
Puerto Arica,Amazonas,Colombia
Puerto Nariño,Amazonas,Colombia
Puerto Santander,Amazonas,Colombia
Tarapacá,Amazonas,Colombia
Abejorral,Antioquia,Colombia
Abriaquí,Antioquia,Colombia
Alejandría,Antioquia,Colombia
Amagá,Antioquia,Colombia
Amalfi,Antioquia,Colombia
Andes,Antioquia,Colombia
Angelópolis,Antioquia,Colombia
Angostura,Antioquia,Colombia
Anorí,Antioquia,Colombia
Anza,Antioquia,Colombia
Apartadó,Antioquia,Colombia
Arboletes,Antioquia,Colombia
Argelia,Antioquia,Colombia
Armenia,Antioquia,Colombia
Barbosa,Antioquia,Colombia
Bello,Antioquia,Colombia
Belmira,Antioquia,Colombia
Betania,Antioquia,Colombia
Betulia,Antioquia,Colombia
Briceño,Antioquia,Colombia
Buriticá,Antioquia,Colombia
Cáceres,Antioquia,Colombia
Caicedo,Antioquia,Colombia
Caldas,Antioquia,Colombia
Campamento,Antioquia,Colombia
Cañasgordas,Antioquia,Colombia
Caracolí,Antioquia,Colombia
Caramanta,Antioquia,Colombia
Carepa,Antioquia,Colombia
Carolina,Antioquia,Colombia
Caucasia,Antioquia,Colombia
Chigorodó,Antioquia,Colombia
Cisneros,Antioquia,Colombia
Ciudad Bolívar,Antioquia,Colombia
Cocorná,Antioquia,Colombia
Concepción,Antioquia,Colombia
Concordia,Antioquia,Colombia
Copacabana,Antioquia,Colombia
Dabeiba,Antioquia,Colombia
Donmatías,Antioquia,Colombia
Ebéjico,Antioquia,Colombia
El Bagre,Antioquia,Colombia
El Carmen de Viboral,Antioquia,Colombia
El Santuario,Antioquia,Colombia
Entrerrios,Antioquia,Colombia
Envigado,Antioquia,Colombia
Fredonia,Antioquia,Colombia
Frontino,Antioquia,Colombia
Giraldo,Antioquia,Colombia
Girardota,Antioquia,Colombia
Gómez Plata,Antioquia,Colombia
Granada,Antioquia,Colombia
Guadalupe,Antioquia,Colombia
Guarne,Antioquia,Colombia
Guatapé,Antioquia,Colombia
Heliconia,Antioquia,Colombia
Hispania,Antioquia,Colombia
Itagui,Antioquia,Colombia
Ituango,Antioquia,Colombia
Jardín,Antioquia,Colombia
Jericó,Antioquia,Colombia
La Ceja,Antioquia,Colombia
La Estrella,Antioquia,Colombia
La Pintada,Antioquia,Colombia
La Unión,Antioquia,Colombia
Liborina,Antioquia,Colombia
Maceo,Antioquia,Colombia
Marinilla,Antioquia,Colombia
Medellín,Antioquia,Colombia
Montebello,Antioquia,Colombia
Murindó,Antioquia,Colombia
Mutatá,Antioquia,Colombia
Nariño,Antioquia,Colombia
Nechí,Antioquia,Colombia
Necoclí,Antioquia,Colombia
Olaya,Antioquia,Colombia
Peñol,Antioquia,Colombia
Peque,Antioquia,Colombia
Pueblorrico,Antioquia,Colombia
Puerto Berrío,Antioquia,Colombia
Puerto Nare,Antioquia,Colombia
Puerto Triunfo,Antioquia,Colombia
Remedios,Antioquia,Colombia
Retiro,Antioquia,Colombia
Rionegro,Antioquia,Colombia
Sabanalarga,Antioquia,Colombia
Sabaneta,Antioquia,Colombia
Salgar,Antioquia,Colombia
San Andrés de Cuerquía,Antioquia,Colombia
San Carlos,Antioquia,Colombia
San Francisco,Antioquia,Colombia
San Jerónimo,Antioquia,Colombia
San José de la Montaña,Antioquia,Colombia
San Juan de Urabá,Antioquia,Colombia
San Luis,Antioquia,Colombia
San Pedro de los Milagros,Antioquia,Colombia
San Pedro de Uraba,Antioquia,Colombia
San Rafael,Antioquia,Colombia
San Roque,Antioquia,Colombia
San Vicente Ferrer,Antioquia,Colombia
Santa Bárbara,Antioquia,Colombia
Santa Fe de Antioquia,Antioquia,Colombia
Santa Rosa de Osos,Antioquia,Colombia
Santo Domingo,Antioquia,Colombia
Segovia,Antioquia,Colombia
Sonson,Antioquia,Colombia
Sopetrán,Antioquia,Colombia
Támesis,Antioquia,Colombia
Tarazá,Antioquia,Colombia
Tarso,Antioquia,Colombia
Titiribí,Antioquia,Colombia
Toledo,Antioquia,Colombia
Turbo,Antioquia,Colombia
Uramita,Antioquia,Colombia
Urrao,Antioquia,Colombia
Valdivia,Antioquia,Colombia
Valparaíso,Antioquia,Colombia
Vegachí,Antioquia,Colombia
Venecia,Antioquia,Colombia
Vigía del Fuerte,Antioquia,Colombia
Yalí,Antioquia,Colombia
Yarumal,Antioquia,Colombia
Yolombó,Antioquia,Colombia
Yondó,Antioquia,Colombia
Zaragoza,Antioquia,Colombia
Arauca,Arauca,Colombia
Arauquita,Arauca,Colombia
Cravo Norte,Arauca,Colombia
Fortul,Arauca,Colombia
Puerto Rondón,Arauca,Colombia
Saravena,Arauca,Colombia
Tame,Arauca,Colombia
Providencia,"Archipiélago de San Andrés, Providencia y Santa Catalina",Colombia
San Andrés,"Archipiélago de San Andrés, Providencia y Santa Catalina",Colombia
Baranoa,Atlántico,Colombia
Barranquilla,Atlántico,Colombia
Campo de la Cruz,Atlántico,Colombia
Candelaria,Atlántico,Colombia
Galapa,Atlántico,Colombia
Juan de Acosta,Atlántico,Colombia
Luruaco,Atlántico,Colombia
Malambo,Atlántico,Colombia
Manatí,Atlántico,Colombia
Palmar de Varela,Atlántico,Colombia
Piojó,Atlántico,Colombia
Polonuevo,Atlántico,Colombia
Ponedera,Atlántico,Colombia
Puerto Colombia,Atlántico,Colombia
Repelón,Atlántico,Colombia
Sabanagrande,Atlántico,Colombia
Sabanalarga,Atlántico,Colombia
Santa Lucía,Atlántico,Colombia
Santo Tomás,Atlántico,Colombia
Soledad,Atlántico,Colombia
Suan,Atlántico,Colombia
Tubará,Atlántico,Colombia
Usiacurí,Atlántico,Colombia
Bogotá D.C.,Bogotá D.C.,Colombia
Achí,Bolívar,Colombia
Altos del Rosario,Bolívar,Colombia
Arenal,Bolívar,Colombia
Arjona,Bolívar,Colombia
Arroyohondo,Bolívar,Colombia
Barranco de Loba,Bolívar,Colombia
Calamar,Bolívar,Colombia
Cantagallo,Bolívar,Colombia
Cartagena de Indias,Bolívar,Colombia
Cicuco,Bolívar,Colombia
Clemencia,Bolívar,Colombia
Córdoba,Bolívar,Colombia
El Carmen de Bolívar,Bolívar,Colombia
El Guamo,Bolívar,Colombia
El Peñón,Bolívar,Colombia
Hatillo de Loba,Bolívar,Colombia
Magangué,Bolívar,Colombia
Mahates,Bolívar,Colombia
Margarita,Bolívar,Colombia
María la Baja,Bolívar,Colombia
Mompós,Bolívar,Colombia
Montecristo,Bolívar,Colombia
Morales,Bolívar,Colombia
Norosí,Bolívar,Colombia
Pinillos,Bolívar,Colombia
Regidor,Bolívar,Colombia
Río Viejo,Bolívar,Colombia
San Cristóbal,Bolívar,Colombia
San Estanislao,Bolívar,Colombia
San Fernando,Bolívar,Colombia
San Jacinto,Bolívar,Colombia
San Jacinto del Cauca,Bolívar,Colombia
San Juan Nepomuceno,Bolívar,Colombia
San Martín de Loba,Bolívar,Colombia
San Pablo,Bolívar,Colombia
Santa Catalina,Bolívar,Colombia
Santa Rosa,Bolívar,Colombia
Santa Rosa del Sur,Bolívar,Colombia
Simití,Bolívar,Colombia
Soplaviento,Bolívar,Colombia
Talaigua Nuevo,Bolívar,Colombia
Tiquisio,Bolívar,Colombia
Turbaco,Bolívar,Colombia
Turbaná,Bolívar,Colombia
Villanueva,Bolívar,Colombia
Zambrano,Bolívar,Colombia
Almeida,Boyacá,Colombia
Aquitania,Boyacá,Colombia
Arcabuco,Boyacá,Colombia
Belén,Boyacá,Colombia
Berbeo,Boyacá,Colombia
Betéitiva,Boyacá,Colombia
Boavita,Boyacá,Colombia
Boyacá,Boyacá,Colombia
Briceño,Boyacá,Colombia
Buenavista,Boyacá,Colombia
Busbanzá,Boyacá,Colombia
Caldas,Boyacá,Colombia
Campohermoso,Boyacá,Colombia
Cerinza,Boyacá,Colombia
Chinavita,Boyacá,Colombia
Chiquinquirá,Boyacá,Colombia
Chíquiza,Boyacá,Colombia
Chiscas,Boyacá,Colombia
Chita,Boyacá,Colombia
Chitaraque,Boyacá,Colombia
Chivatá,Boyacá,Colombia
Chivor,Boyacá,Colombia
Ciénega,Boyacá,Colombia
Combita,Boyacá,Colombia
Coper,Boyacá,Colombia
Corrales,Boyacá,Colombia
Covarachía,Boyacá,Colombia
Cubará,Boyacá,Colombia
Cucaita,Boyacá,Colombia
Cuítiva,Boyacá,Colombia
Duitama,Boyacá,Colombia
El Cocuy,Boyacá,Colombia
El Espino,Boyacá,Colombia
Firavitoba,Boyacá,Colombia
Floresta,Boyacá,Colombia
Gachantivá,Boyacá,Colombia
Gameza,Boyacá,Colombia
Garagoa,Boyacá,Colombia
Guacamayas,Boyacá,Colombia
Guateque,Boyacá,Colombia
Guayatá,Boyacá,Colombia
Güicán,Boyacá,Colombia
Iza,Boyacá,Colombia
Jenesano,Boyacá,Colombia
Jericó,Boyacá,Colombia
La Capilla,Boyacá,Colombia
La Uvita,Boyacá,Colombia
La Victoria,Boyacá,Colombia
Labranzagrande,Boyacá,Colombia
Macanal,Boyacá,Colombia
Maripí,Boyacá,Colombia
Miraflores,Boyacá,Colombia
Mongua,Boyacá,Colombia
Monguí,Boyacá,Colombia
Moniquirá,Boyacá,Colombia
Motavita,Boyacá,Colombia
Muzo,Boyacá,Colombia
Nobsa,Boyacá,Colombia
Nuevo Colón,Boyacá,Colombia
Oicatá,Boyacá,Colombia
Otanche,Boyacá,Colombia
Pachavita,Boyacá,Colombia
Páez,Boyacá,Colombia
Paipa,Boyacá,Colombia
Pajarito,Boyacá,Colombia
Panqueba,Boyacá,Colombia
Pauna,Boyacá,Colombia
Paya,Boyacá,Colombia
Paz de Río,Boyacá,Colombia
Pesca,Boyacá,Colombia
Pisba,Boyacá,Colombia
Puerto Boyacá,Boyacá,Colombia
Quípama,Boyacá,Colombia
Ramiriquí,Boyacá,Colombia
Ráquira,Boyacá,Colombia
Rondón,Boyacá,Colombia
Saboyá,Boyacá,Colombia
Sáchica,Boyacá,Colombia
Samacá,Boyacá,Colombia
San Eduardo,Boyacá,Colombia
San José de Pare,Boyacá,Colombia
San Luis de Gaceno,Boyacá,Colombia
San Mateo,Boyacá,Colombia
San Miguel de Sema,Boyacá,Colombia
San Pablo de Borbur,Boyacá,Colombia
Santa María,Boyacá,Colombia
Santa Rosa de Viterbo,Boyacá,Colombia
Santa Sofía,Boyacá,Colombia
Santana,Boyacá,Colombia
Sativanorte,Boyacá,Colombia
Sativasur,Boyacá,Colombia
Siachoque,Boyacá,Colombia
Soatá,Boyacá,Colombia
Socha,Boyacá,Colombia
Socotá,Boyacá,Colombia
Sogamoso,Boyacá,Colombia
Somondoco,Boyacá,Colombia
Sora,Boyacá,Colombia
Soracá,Boyacá,Colombia
Sotaquirá,Boyacá,Colombia
Susacón,Boyacá,Colombia
Sutamarchán,Boyacá,Colombia
Sutatenza,Boyacá,Colombia
Tasco,Boyacá,Colombia
Tenza,Boyacá,Colombia
Tibaná,Boyacá,Colombia
Tibasosa,Boyacá,Colombia
Tinjacá,Boyacá,Colombia
Tipacoque,Boyacá,Colombia
Toca,Boyacá,Colombia
Togüí,Boyacá,Colombia
Tópaga,Boyacá,Colombia
Tota,Boyacá,Colombia
Tunja,Boyacá,Colombia
Tununguá,Boyacá,Colombia
Turmequé,Boyacá,Colombia
Tuta,Boyacá,Colombia
Tutazá,Boyacá,Colombia
Umbita,Boyacá,Colombia
Ventaquemada,Boyacá,Colombia
Villa de Leyva,Boyacá,Colombia
Viracachá,Boyacá,Colombia
Zetaquira,Boyacá,Colombia
Aguadas,Caldas,Colombia
Anserma,Caldas,Colombia
Aranzazu,Caldas,Colombia
Belalcázar,Caldas,Colombia
Chinchiná,Caldas,Colombia
Filadelfia,Caldas,Colombia
La Dorada,Caldas,Colombia
La Merced,Caldas,Colombia
Manizales,Caldas,Colombia
Manzanares,Caldas,Colombia
Marmato,Caldas,Colombia
Marquetalia,Caldas,Colombia
Marulanda,Caldas,Colombia
Neira,Caldas,Colombia
Norcasia,Caldas,Colombia
Pácora,Caldas,Colombia
Palestina,Caldas,Colombia
Pensilvania,Caldas,Colombia
Riosucio,Caldas,Colombia
Risaralda,Caldas,Colombia
Salamina,Caldas,Colombia
Samaná,Caldas,Colombia
San José,Caldas,Colombia
Supía,Caldas,Colombia
Victoria,Caldas,Colombia
Villamaría,Caldas,Colombia
Viterbo,Caldas,Colombia
Albania,Caquetá,Colombia
Belén de Los Andaquies,Caquetá,Colombia
Cartagena del Chairá,Caquetá,Colombia
Curillo,Caquetá,Colombia
El Doncello,Caquetá,Colombia
El Paujil,Caquetá,Colombia
Florencia,Caquetá,Colombia
La Montañita,Caquetá,Colombia
Milán,Caquetá,Colombia
Morelia,Caquetá,Colombia
Puerto Rico,Caquetá,Colombia
San José del Fragua,Caquetá,Colombia
San Vicente del Caguán,Caquetá,Colombia
Solano,Caquetá,Colombia
Solita,Caquetá,Colombia
Valparaíso,Caquetá,Colombia
Aguazul,Casanare,Colombia
Chameza,Casanare,Colombia
Hato Corozal,Casanare,Colombia
La Salina,Casanare,Colombia
Maní,Casanare,Colombia
Monterrey,Casanare,Colombia
Nunchía,Casanare,Colombia
Orocué,Casanare,Colombia
Paz de Ariporo,Casanare,Colombia
Pore,Casanare,Colombia
Recetor,Casanare,Colombia
Sabanalarga,Casanare,Colombia
Sácama,Casanare,Colombia
San Luis de Palenque,Casanare,Colombia
Támara,Casanare,Colombia
Tauramena,Casanare,Colombia
Trinidad,Casanare,Colombia
Villanueva,Casanare,Colombia
Yopal,Casanare,Colombia
Almaguer,Cauca,Colombia
Argelia,Cauca,Colombia
Balboa,Cauca,Colombia
Bolívar,Cauca,Colombia
Buenos Aires,Cauca,Colombia
Cajibío,Cauca,Colombia
Caldono,Cauca,Colombia
Caloto,Cauca,Colombia
Corinto,Cauca,Colombia
El Tambo,Cauca,Colombia
Florencia,Cauca,Colombia
Guachené,Cauca,Colombia
Guapi,Cauca,Colombia
Inzá,Cauca,Colombia
Jambaló,Cauca,Colombia
La Sierra,Cauca,Colombia
La Vega,Cauca,Colombia
López de Micay,Cauca,Colombia
Mercaderes,Cauca,Colombia
Miranda,Cauca,Colombia
Morales,Cauca,Colombia
Padilla,Cauca,Colombia
Páez,Cauca,Colombia
Patía,Cauca,Colombia
Piamonte,Cauca,Colombia
Piendamo,Cauca,Colombia
Popayán,Cauca,Colombia
Puerto Tejada,Cauca,Colombia
Puracé,Cauca,Colombia
Rosas,Cauca,Colombia
San Sebastián,Cauca,Colombia
Santa Rosa,Cauca,Colombia
Santander de Quilichao,Cauca,Colombia
Silvia,Cauca,Colombia
Sotará,Cauca,Colombia
Suárez,Cauca,Colombia
Sucre,Cauca,Colombia
Timbío,Cauca,Colombia
Timbiquí,Cauca,Colombia
Toribio,Cauca,Colombia
Totoró,Cauca,Colombia
Villa Rica,Cauca,Colombia
Aguachica,Cesar,Colombia
Agustín Codazzi,Cesar,Colombia
Astrea,Cesar,Colombia
Becerril,Cesar,Colombia
Bosconia,Cesar,Colombia
Chimichagua,Cesar,Colombia
Chiriguaná,Cesar,Colombia
Curumaní,Cesar,Colombia
El Copey,Cesar,Colombia
El Paso,Cesar,Colombia
Gamarra,Cesar,Colombia
González,Cesar,Colombia
La Gloria,Cesar,Colombia
La Jagua de Ibirico,Cesar,Colombia
La Paz,Cesar,Colombia
Manaure Balcón del Cesar,Cesar,Colombia
Pailitas,Cesar,Colombia
Pelaya,Cesar,Colombia
Pueblo Bello,Cesar,Colombia
Río de Oro,Cesar,Colombia
San Alberto,Cesar,Colombia
San Diego,Cesar,Colombia
San Martín,Cesar,Colombia
Tamalameque,Cesar,Colombia
Valledupar,Cesar,Colombia
Acandí,Chocó,Colombia
Alto Baudó,Chocó,Colombia
Atrato,Chocó,Colombia
Bagadó,Chocó,Colombia
Bahía Solano,Chocó,Colombia
Bajo Baudó,Chocó,Colombia
Bojayá,Chocó,Colombia
Carmen del Darien,Chocó,Colombia
Cértegui,Chocó,Colombia
Condoto,Chocó,Colombia
El Cantón de San Pablo,Chocó,Colombia
El Carmen de Atrato,Chocó,Colombia
Istmina,Chocó,Colombia
Juradó,Chocó,Colombia
Litoral del San Juan,Chocó,Colombia
Lloró,Chocó,Colombia
Medio Atrato,Chocó,Colombia
Medio Baudó,Chocó,Colombia
Medio San Juan,Chocó,Colombia
Nóvita,Chocó,Colombia
Nuquí,Chocó,Colombia
Quibdó,Chocó,Colombia
Río Iro,Chocó,Colombia
Río Quito,Chocó,Colombia
Riosucio,Chocó,Colombia
San José del Palmar,Chocó,Colombia
Sipí,Chocó,Colombia
Tadó,Chocó,Colombia
Unguía,Chocó,Colombia
Unión Panamericana,Chocó,Colombia
Ayapel,Córdoba,Colombia
Buenavista,Córdoba,Colombia
Canalete,Córdoba,Colombia
Cereté,Córdoba,Colombia
Chimá,Córdoba,Colombia
Chinú,Córdoba,Colombia
Ciénaga de Oro,Córdoba,Colombia
Cotorra,Córdoba,Colombia
La Apartada,Córdoba,Colombia
Lorica,Córdoba,Colombia
Los Córdobas,Córdoba,Colombia
Momil,Córdoba,Colombia
Moñitos,Córdoba,Colombia
Montelíbano,Córdoba,Colombia
Montería,Córdoba,Colombia
Planeta Rica,Córdoba,Colombia
Pueblo Nuevo,Córdoba,Colombia
Puerto Escondido,Córdoba,Colombia
Puerto Libertador,Córdoba,Colombia
Purísima,Córdoba,Colombia
Sahagún,Córdoba,Colombia
San Andrés de Sotavento,Córdoba,Colombia
San Antero,Córdoba,Colombia
San Bernardo del Viento,Córdoba,Colombia
San Carlos,Córdoba,Colombia
San José de Uré,Córdoba,Colombia
San Pelayo,Córdoba,Colombia
Tierralta,Córdoba,Colombia
Tuchín,Córdoba,Colombia
Valencia,Córdoba,Colombia
Agua de Dios,Cundinamarca,Colombia
Albán,Cundinamarca,Colombia
Anapoima,Cundinamarca,Colombia
Anolaima,Cundinamarca,Colombia
Apulo,Cundinamarca,Colombia
Arbeláez,Cundinamarca,Colombia
Beltrán,Cundinamarca,Colombia
Bituima,Cundinamarca,Colombia
Bogotá D.C.,Cundinamarca,Colombia
Bojacá,Cundinamarca,Colombia
Cabrera,Cundinamarca,Colombia
Cachipay,Cundinamarca,Colombia
Cajicá,Cundinamarca,Colombia
Caparrapí,Cundinamarca,Colombia
Caqueza,Cundinamarca,Colombia
Carmen de Carupa,Cundinamarca,Colombia
Chaguaní,Cundinamarca,Colombia
Chía,Cundinamarca,Colombia
Chipaque,Cundinamarca,Colombia
Choachí,Cundinamarca,Colombia
Chocontá,Cundinamarca,Colombia
Cogua,Cundinamarca,Colombia
Cota,Cundinamarca,Colombia
Cucunubá,Cundinamarca,Colombia
El Colegio,Cundinamarca,Colombia
El Peñón,Cundinamarca,Colombia
El Rosal,Cundinamarca,Colombia
Facatativá,Cundinamarca,Colombia
Fomeque,Cundinamarca,Colombia
Fosca,Cundinamarca,Colombia
Funza,Cundinamarca,Colombia
Fúquene,Cundinamarca,Colombia
Fusagasugá,Cundinamarca,Colombia
Gachala,Cundinamarca,Colombia
Gachancipá,Cundinamarca,Colombia
Gachetá,Cundinamarca,Colombia
Gama,Cundinamarca,Colombia
Girardot,Cundinamarca,Colombia
Granada,Cundinamarca,Colombia
Guachetá,Cundinamarca,Colombia
Guaduas,Cundinamarca,Colombia
Guasca,Cundinamarca,Colombia
Guataquí,Cundinamarca,Colombia
Guatavita,Cundinamarca,Colombia
Guayabal de Siquima,Cundinamarca,Colombia
Guayabetal,Cundinamarca,Colombia
Gutiérrez,Cundinamarca,Colombia
